SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Ethics and Professional Conduct,DAC logo,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,27-04-2020,23:41:00
Financial Analysis and Management,Button UI Design Help,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Website Programming, Graphic Design",20-11-2020,21:09:00
Technical Communication and Media,Want Ads Replacement,unvalid,Website Programming,"Rachid Khattabi, Samira Alaoui",Website Programming,16-05-2019,16:39:00
Engineering Leadership and Strategy,End of the Year Video,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,"Writing and Editing, Video Editing and Production, Social Media Strategy",03-01-2018,20:10:00
Engineering Leadership and Strategy,State of the County - speech,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,"Writing and Editing, Proofreading and Quality Assurance, Public Outreach and Engagement",30-01-2018,23:35:00
Academic Affairs and Staff Development,Total Compensation,bwidmoora@alibaba.com,Strategic Planning and Project Management,Nawal Chraibi,"Internal and External Communication, Proofreading and Quality Assurance, Writing and Editing",30-01-2018,23:38:00
Environmental and Civil Engineering,Foothills Trail opening,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,"Public Relations, News and Media Communication, Proofreading and Quality Assurance, Social Media Strategy, Writing and Editing",30-01-2018,23:40:00
Engineering Leadership and Strategy,Public Records Center news release,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Public Relations, Website Programming, Social Media Strategy",30-01-2018,23:41:00
Technical Communication and Media,Implement Meltwater media monitoring,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,"Public Relations, Website Programming",30-01-2018,23:45:00
Safety Engineering and Crisis Management,Pierce County communication leaders presenting at international expo,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication",06-03-2018,20:26:00
Engineering Leadership and Strategy,"Dammeier outlines 2017 successes, 2018 priorities in State of the County address",bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication, Website Programming, Writing and Editing",21-03-2018,20:19:00
Engineering Leadership and Strategy,Pierce County leaders announce proposals for family-wage job credits,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"Proofreading and Quality Assurance, News and Media Communication",22-05-2018,23:01:00
Facilities and Maintenance Engineering,Water being tested for discoloration on CCB campus,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Proofreading and Quality Assurance,07-05-2019,19:59:00
Engineering Leadership and Strategy,Jan 4 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:50:00
Engineering Leadership and Strategy,Jan 11 Blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:53:00
Engineering Leadership and Strategy,Jan 18 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:54:00
Engineering Leadership and Strategy,Jan 25 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:55:00
Engineering Leadership and Strategy,Feb 8 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:56:00
Engineering Leadership and Strategy,Feb 1 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:56:00
Engineering Leadership and Strategy,Feb 15 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:57:00
Engineering Leadership and Strategy,Feb 22 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:58:00
Engineering Leadership and Strategy,Mar 1 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,17:59:00
Engineering Leadership and Strategy,Mar 15 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:00:00
Engineering Leadership and Strategy,Mar 8 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:00:00
Engineering Leadership and Strategy,Mar 22 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:01:00
Engineering Leadership and Strategy,Mar 29 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:02:00
Engineering Leadership and Strategy,Apr 5 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:03:00
Engineering Leadership and Strategy,Apr 12 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:04:00
Engineering Leadership and Strategy,Apr 19 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:05:00
Engineering Leadership and Strategy,Apr 26 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:06:00
Engineering Leadership and Strategy,May 3 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:07:00
Engineering Leadership and Strategy,May 17 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:08:00
Engineering Leadership and Strategy,May 10 blog,bwidmoora@alibaba.com,Internal and External Communication,Nawal Chraibi,Writing and Editing,13-05-2019,18:08:00
Accreditation and Academic Standards,Fish Culvert advocacy,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,Video Editing and Production,13-05-2019,18:20:00
Engineering Leadership and Strategy,SOTC 2019 speech,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,"Writing and Editing, Event Coordination",13-05-2019,18:28:00
Engineering Leadership and Strategy,Logistics,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Event Coordination,13-05-2019,18:29:00
Engineering Leadership and Strategy,SOTC livestreaming,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,Video Editing and Production,13-05-2019,18:30:00
Technical Communication and Media,Market the Arts presentation,bwidmoora@alibaba.com,Technical Writing,Nawal Chraibi,Public Outreach and Engagement,13-05-2019,18:36:00
Engineering Leadership and Strategy,Speech to Parkland Spanaway Kiwanis,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,"Public Outreach and Engagement, Writing and Editing",13-05-2019,19:26:00
Engineering Leadership and Strategy,Reactive media statement,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,"Public Relations, Social Media Strategy",13-05-2019,19:28:00
Partnerships and External Collaboration,Landlord Appreciation Video,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,"Video Editing and Production, Writing and Editing",13-05-2019,19:30:00
Academic Affairs and Staff Development,DEI video,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,Video Editing and Production,13-05-2019,19:31:00
Engineering Leadership and Strategy,Executive vlog - Remann Hall,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,"Social Media Strategy, Video Editing and Production",13-05-2019,19:32:00
Engineering Leadership and Strategy,BCRA speech,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:34:00
Engineering Leadership and Strategy,Key Pen Business Group speech,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:35:00
Engineering Leadership and Strategy,Youngest Citizens remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:35:00
Engineering Leadership and Strategy,Educational Forum remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:37:00
Engineering Leadership and Strategy,Gig Harbor Super Business Group,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:38:00
Engineering Leadership and Strategy,Prayer Breakfast remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:39:00
Environmental and Civil Engineering,Edit Annual Report - round 1,bwidmoora@alibaba.com,Technical Writing,Nawal Chraibi,Proofreading and Quality Assurance,13-05-2019,19:42:00
Environmental and Civil Engineering,Edit Annual Report - round 2,bwidmoora@alibaba.com,Technical Writing,Nawal Chraibi,Proofreading and Quality Assurance,13-05-2019,19:43:00
Engineering Leadership and Strategy,Workforce JobFest remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:44:00
Environmental and Civil Engineering,Branding,bwidmoora@alibaba.com,Technical Writing,Nawal Chraibi,Graphic Design,13-05-2019,19:47:00
Quality Assurance and Risk Management,2020 Census,bwidmoora@alibaba.com,Issue and Risk Management,Nawal Chraibi,"Public Outreach and Engagement, Writing and Editing",13-05-2019,19:49:00
Regulatory Engineering,Medical Examiner,bwidmoora@alibaba.com,Issue and Risk Management,Nawal Chraibi,"Public Relations, Social Media Strategy, Writing and Editing",13-05-2019,19:51:00
Engineering Leadership and Strategy,Executive vlog - Property Room,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,Video Editing and Production,13-05-2019,19:53:00
Engineering Leadership and Strategy,Chambers Bay Fact Sheet,bwidmoora@alibaba.com,Website Programming,Nawal Chraibi,Writing and Editing,13-05-2019,19:55:00
Engineering Leadership and Strategy,Volunteer Recognition remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:56:00
Engineering Leadership and Strategy,King Pierce Farm Bureau,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,13-05-2019,19:57:00
Technical Communication and Media,Updated media policy,bwidmoora@alibaba.com,Strategic Planning and Project Management,Nawal Chraibi,Writing and Editing,13-05-2019,19:59:00
Engineering Leadership and Strategy,Groundbreaking for CRC,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,"Public Outreach and Engagement, Event Coordination, Social Media Strategy",14-05-2019,19:56:00
Engineering Leadership and Strategy,Washington HS STEM Open House remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,19:57:00
Engineering Leadership and Strategy,SOTC invitations - list and distribution,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Event Coordination,14-05-2019,20:01:00
Engineering Leadership and Strategy,Opioid Summit remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:02:00
Engineering Leadership and Strategy,Asia Pacific New Year Celebration remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:04:00
Engineering Leadership and Strategy,Port of Tacoma Lifetime Achievement,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:05:00
Academic Affairs and Staff Development,Jody Fergson,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"News and Media Communication, Writing and Editing",14-05-2019,20:06:00
Engineering Leadership and Strategy,Wellfound Hospital remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:15:00
Engineering Leadership and Strategy,Kiwanis speech,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:16:00
Regulatory Engineering,Boyle v Puyallup,bwidmoora@alibaba.com,Public Relations,Nawal Chraibi,Public Relations,14-05-2019,20:20:00
Engineering Leadership and Strategy,South Sound Together remarks,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:21:00
Engineering Leadership and Strategy,Puyallup Sumner Chamber Econ Forecast,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:22:00
Engineering Leadership and Strategy,Judge Christopher swearing in,bwidmoora@alibaba.com,Event Management and Logistics,Nawal Chraibi,Writing and Editing,14-05-2019,20:23:00
Technical Communication and Media,Jail as a homeless shelter?,bwidmoora@alibaba.com,Issue and Risk Management,Nawal Chraibi,Public Relations,14-05-2019,20:25:00
Academic Affairs and Staff Development,DEI,bwidmoora@alibaba.com,Video Editing and Production,Nawal Chraibi,Video Editing and Production,14-05-2019,20:26:00
Industrial and Systems Engineering,InvestPierceCounty,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"News and Media Communication, Website Programming, Social Media Strategy, Public Relations",14-05-2019,20:27:00
Social Impact Engineering,Blog,bwidmoora@alibaba.com,Technical Writing,Nawal Chraibi,Proofreading and Quality Assurance,14-05-2019,20:29:00
Environmental and Civil Engineering,Chambers Bay re-opens,bwidmoora@alibaba.com,News Writing and Editing,Nawal Chraibi,"News and Media Communication, Writing and Editing, Proofreading and Quality Assurance, Social Media Strategy",14-05-2019,20:33:00
